13.72	20.02	99.97	253.5
14.87	20.2	99.69	272
16.08	20.38	99.14	291.5
17.36	20.56	98.32	311.2
18.71	20.74	97.23	330.5
20.14	20.92	95.9	348.5
21.64	21.1	94.32	364.5
23.21	21.27	92.5	377.8
24.86	21.45	90.48	387.7
26.58	21.63	88.25	393.7
28.38	21.8	88.25	395.4
30.24	21.98	90.48	392.4
32.18	22.15	92.5	384.7
34.18	22.32	94.32	372.3
36.25	22.5	95.9	355.3
38.38	22.67	97.23	334.2
40.57	22.84	98.32	309.6
42.82	23.01	99.14	282.1
45.11	23.17	99.69	252.6
47.45	23.34	99.97	222.1
49.84	23.51	99.97	191.7
52.25	23.67	99.69	162.6
54.7	23.83	99.14	136
57.16	24	98.32	112.9
59.64	24.16	97.23	94.67
62.12	24.31	95.9	82.26
64.61	24.47	94.32	76.64
67.08	24.63	92.5	78.64
69.53	24.78	90.48	88.89
71.96	24.94	88.25	107.8
74.34	25.09	88.25	135.6
76.69	25.24	90.48	172.3
78.97	25.39	92.5	217.7
81.19	25.53	94.32	271.1
83.34	25.68	95.9	331.8
85.41	25.82	97.23	399
87.38	25.96	98.32	471.3
89.26	26.1	99.14	547.5
91.02	26.24	99.69	626.1
92.67	26.37	99.97	705.5
94.2	26.51	99.97	784
95.59	26.64	99.69	859.9
96.85	26.77	99.14	931.6
97.96	26.9	98.32	997.5
98.93	27.02	97.23	1056
99.74	27.14	95.9	1106
100.4	27.27	94.32	1146
100.9	27.38	92.5	1176
101.2	27.5	90.48	1194
101.4	27.61	88.25	1200
101.4	27.73	88.25	1194
101.2	27.84	90.48	1177
100.9	27.94	92.5	1148
100.4	28.05	94.32	1108
99.74	28.15	95.9	1059
98.93	28.25	97.23	1001
97.96	28.35	98.32	935.1
96.85	28.44	99.14	863.6
95.59	28.53	99.69	787.9
94.2	28.62	99.97	709.5
92.67	28.71	99.97	630.1
91.02	28.79	99.69	551.5
89.26	28.88	99.14	475.1
87.38	28.95	98.32	402.5
85.41	29.03	97.23	335.1
83.34	29.1	95.9	274
81.19	29.17	94.32	220.2
78.97	29.24	92.5	174.4
76.69	29.31	90.48	137.3
74.34	29.37	88.25	109
71.96	29.43	88.25	89.64
69.53	29.49	90.48	78.96
67.08	29.54	92.5	76.55
64.61	29.59	94.32	81.8
62.12	29.64	95.9	93.89
59.64	29.68	97.23	111.9
57.16	29.73	98.32	134.7
54.7	29.76	99.14	161.2
52.25	29.8	99.69	190.2
49.84	29.83	99.97	220.6
47.45	29.86	99.97	251.1
45.11	29.89	99.69	280.6
42.82	29.91	99.14	308.2
40.57	29.94	98.32	333
38.38	29.95	97.23	354.3
36.25	29.97	95.9	371.5
34.18	29.98	94.32	384.2
32.18	29.99	92.5	392.2
30.24	30	90.48	395.3
28.38	30	88.25	393.9
26.58	30	88.25	388.1
24.86	30	90.48	378.4
23.21	29.99	92.5	365.2
21.64	29.98	94.32	349.4
20.14	29.97	95.9	331.4
18.71	29.95	97.23	312.2
17.36	29.94	98.32	292.5
16.08	29.91	99.14	273
14.87	29.89	99.69	254.4
13.72	29.86	99.97	237.5
